population	model	experiment	year	tasmax	tasmin	ppt
BH	cnrm-esm2-1	ssp370	2060	310.62726	276.2591	1242.9691491764797
BH	cnrm-esm2-1	ssp370	2061	312.32324	275.65204	492.7531774621457
BH	cnrm-esm2-1	ssp370	2062	311.5794	276.92645	907.7519763260827
BH	cnrm-esm2-1	ssp370	2063	310.74866	276.29645	699.2343724239618
BH	cnrm-esm2-1	ssp370	2064	312.1967	274.71747	821.196669491453
BH	cnrm-esm2-1	ssp370	2065	311.0091	278.25632	318.72960496111773
BH	cnrm-esm2-1	ssp370	2066	311.6025	275.44556	937.0386085967718
BH	cnrm-esm2-1	ssp370	2067	312.3182	277.64206	708.4200887940824
BH	cnrm-esm2-1	ssp370	2068	311.29297	276.66727	691.6127438598778
BH	cnrm-esm2-1	ssp370	2069	311.20792	278.2057	618.2173707056791
BH	cnrm-esm2-1	ssp370	2070	311.90503	277.29388	309.8427462915424
BH	ec-earth3-veg	ssp245	2041	311.29352	274.7806	464.1441935136754
BH	ec-earth3-veg	ssp245	2042	311.55798	277.85434	1012.3958112671777
BH	ec-earth3-veg	ssp245	2043	308.7479	276.99802	928.1818745264759
BH	ec-earth3-veg	ssp245	2044	310.11713	275.95316	748.1848009396344
BH	ec-earth3-veg	ssp245	2045	310.2941	276.04688	698.4209791291505
BH	ec-earth3-veg	ssp245	2046	310.0187	275.76785	563.2151412544772
BH	ec-earth3-veg	ssp245	2047	310.97498	277.00464	588.7778734235244
BH	ec-earth3-veg	ssp245	2048	312.6044	277.24768	594.657441257732
BH	ec-earth3-veg	ssp245	2049	310.21185	276.4436	803.1255749054253
BH	ec-earth3-veg	ssp245	2050	311.78705	276.09235	895.7532143045632
BH	ec-earth3-veg	ssp245	2051	310.14987	276.96497	686.3731252960861
BH	ec-earth3-veg	ssp245	2052	310.8459	278.02606	861.0981670673744
BH	ec-earth3-veg	ssp245	2053	309.5723	279.53955	587.0611540682071
BH	ec-earth3-veg	ssp245	2054	311.1418	274.68332	214.1578525537625
BH	ec-earth3-veg	ssp245	2055	310.01453	276.0691	284.0861271175527
BH	ec-earth3-veg	ssp245	2056	310.44235	277.54175	908.2506459206238
BH	ec-earth3-veg	ssp245	2057	310.1705	276.61166	714.7875306196511
BH	ec-earth3-veg	ssp245	2058	309.38528	278.49655	669.4099704734922
BH	ec-earth3-veg	ssp245	2059	310.66647	277.14218	363.01458078742144
BH	ec-earth3-veg	ssp245	2060	313.75235	275.87308	524.4921558187343
BH	ec-earth3-veg	ssp245	2061	312.35312	273.38248	888.9579906826573
BH	ec-earth3-veg	ssp245	2062	310.29385	276.46613	440.70088847656734
BH	ec-earth3-veg	ssp245	2063	309.1914	277.7289	603.7114785052836
BH	ec-earth3-veg	ssp245	2064	312.333	276.55087	1142.1267347875794
BH	ec-earth3-veg	ssp245	2065	312.9714	276.41034	489.7263157996349
BH	ec-earth3-veg	ssp245	2066	311.6981	277.0401	1627.2118466323927
BH	ec-earth3-veg	ssp245	2067	310.538	277.39624	1215.0555211293845
BH	ec-earth3-veg	ssp245	2068	309.3885	275.78116	601.0112693533301
