id	cvar	period	gcm	scenario	spag	dt	val
BH	tasmax	year	CNRM-CM5	historical	none	1952-12-31	295.8372192383
BH	tasmax	year	CNRM-CM5	historical	none	1953-12-31	294.7082519531
BH	tasmax	year	CNRM-CM5	historical	none	1954-12-31	295.1578063965
BH	tasmax	year	CNRM-CM5	historical	none	1955-12-31	294.8919677734
BH	tasmax	year	CNRM-CM5	historical	none	1956-12-31	295.7561035156
BH	tasmax	year	CNRM-CM5	historical	none	1957-12-31	294.7764282227
BH	tasmax	year	CNRM-CM5	historical	none	1958-12-31	295.040222168
BH	tasmax	year	CNRM-CM5	historical	none	1959-12-31	294.9703063965
BH	tasmax	year	CNRM-CM5	historical	none	1960-12-31	295.8122558594
BH	tasmax	year	CNRM-CM5	historical	none	1961-12-31	294.6565246582
BH	tasmax	year	CNRM-CM5	historical	none	1962-12-31	295.8336486816
BH	tasmax	year	CNRM-CM5	historical	none	1963-12-31	294.7805480957
BH	tasmax	year	CNRM-CM5	historical	none	1964-12-31	294.3112487793
BH	tasmax	year	CNRM-CM5	historical	none	1965-12-31	294.7939147949
BH	tasmax	year	CNRM-CM5	historical	none	1966-12-31	295.1890563965
BH	tasmax	year	CNRM-CM5	historical	none	1967-12-31	294.7164001465
BH	tasmax	year	CNRM-CM5	historical	none	1968-12-31	294.8877868652
BH	tasmax	year	CNRM-CM5	historical	none	1969-12-31	295.4657287598
BH	tasmax	year	CNRM-CM5	historical	none	1970-12-31	295.653137207
BH	tasmax	year	CNRM-CM5	historical	none	1971-12-31	295.563873291
BH	tasmax	year	CNRM-CM5	historical	none	1972-12-31	294.9719238281
BH	tasmax	year	CNRM-CM5	historical	none	1973-12-31	295.1962585449
BH	tasmax	year	CNRM-CM5	historical	none	1974-12-31	294.0966186523
BH	tasmax	year	CNRM-CM5	historical	none	1975-12-31	295.3937072754
BH	tasmax	year	CNRM-CM5	historical	none	1976-12-31	295.5034484863
BH	tasmax	year	CNRM-CM5	historical	none	1977-12-31	295.3037414551
BH	tasmax	year	CNRM-CM5	historical	none	1978-12-31	295.8647766113
BH	tasmax	year	CNRM-CM5	historical	none	1979-12-31	295.0657043457
BH	tasmax	year	CNRM-CM5	historical	none	1980-12-31	296.7863464355
BH	tasmax	year	CNRM-CM5	historical	none	1981-12-31	295.1844482422
BH	tasmax	year	CNRM-CM5	historical	none	1982-12-31	295.1441345215
BH	tasmax	year	CNRM-CM5	historical	none	1983-12-31	295.1443786621
BH	tasmax	year	CNRM-CM5	historical	none	1984-12-31	296.1470336914
BH	tasmax	year	CNRM-CM5	historical	none	1985-12-31	294.640045166
BH	tasmax	year	CNRM-CM5	historical	none	1986-12-31	296.6920166016
BH	tasmax	year	CNRM-CM5	historical	none	1987-12-31	295.6426086426
BH	tasmax	year	CNRM-CM5	historical	none	1988-12-31	295.9488830566
BH	tasmax	year	CNRM-CM5	historical	none	1989-12-31	295.4298095703
BH	tasmax	year	CNRM-CM5	historical	none	1990-12-31	296.8254089355
BH	tasmax	year	CNRM-CM5	historical	none	1991-12-31	295.9767150879
BH	tasmax	year	CNRM-CM5	historical	none	1992-12-31	296.4707946777
BH	tasmax	year	CNRM-CM5	historical	none	1993-12-31	294.6739501953
BH	tasmax	year	CNRM-CM5	historical	none	1994-12-31	295.835357666
BH	tasmax	year	CNRM-CM5	historical	none	1995-12-31	296.2272644043
BH	tasmax	year	CNRM-CM5	historical	none	1996-12-31	296.3439025879
BH	tasmax	year	CNRM-CM5	historical	none	1997-12-31	295.8601379395
BH	tasmax	year	CNRM-CM5	historical	none	1998-12-31	296.9254455566
BH	tasmax	year	CNRM-CM5	historical	none	1999-12-31	296.1427612305
BH	tasmax	year	CNRM-CM5	historical	none	2000-12-31	296.3650512695
BH	tasmax	year	CNRM-CM5	historical	none	2001-12-31	296.5896606445
BH	tasmax	year	CNRM-CM5	historical	none	2002-12-31	296.5923156738
BH	tasmax	year	CNRM-CM5	historical	none	2003-12-31	295.5552062988
BH	tasmax	year	CNRM-CM5	historical	none	2004-12-31	296.6394042969
BH	tasmin	year	CNRM-CM5	historical	none	1950-12-31	280.690246582
BH	tasmin	year	CNRM-CM5	historical	none	1951-12-31	279.7731018066
BH	tasmin	year	CNRM-CM5	historical	none	1952-12-31	280.313873291
BH	tasmin	year	CNRM-CM5	historical	none	1953-12-31	279.8671875
BH	tasmin	year	CNRM-CM5	historical	none	1954-12-31	278.6811218262
BH	tasmin	year	CNRM-CM5	historical	none	1955-12-31	278.9454040527
BH	tasmin	year	CNRM-CM5	historical	none	1956-12-31	278.8408813477
BH	tasmin	year	CNRM-CM5	historical	none	1957-12-31	278.8193359375
BH	tasmin	year	CNRM-CM5	historical	none	1958-12-31	278.4536437988
BH	tasmin	year	CNRM-CM5	historical	none	1959-12-31	278.8859558105
BH	tasmin	year	CNRM-CM5	historical	none	1960-12-31	279.6965026855
BH	tasmin	year	CNRM-CM5	historical	none	1961-12-31	279.1488952637
BH	tasmin	year	CNRM-CM5	historical	none	1962-12-31	279.3278808594
BH	tasmin	year	CNRM-CM5	historical	none	1963-12-31	280.233215332
BH	tasmin	year	CNRM-CM5	historical	none	1964-12-31	279.8995666504
BH	tasmin	year	CNRM-CM5	historical	none	1965-12-31	279.7477416992
BH	tasmin	year	CNRM-CM5	historical	none	1966-12-31	280.0852355957
BH	tasmin	year	CNRM-CM5	historical	none	1967-12-31	279.4624938965
BH	tasmin	year	CNRM-CM5	historical	none	1968-12-31	279.1649475098
BH	tasmin	year	CNRM-CM5	historical	none	1969-12-31	278.8530273438
BH	tasmin	year	CNRM-CM5	historical	none	1970-12-31	279.8595581055
BH	tasmin	year	CNRM-CM5	historical	none	1971-12-31	280.4898071289
BH	tasmin	year	CNRM-CM5	historical	none	1972-12-31	279.8836364746
BH	tasmin	year	CNRM-CM5	historical	none	1973-12-31	280.2245483398
BH	tasmin	year	CNRM-CM5	historical	none	1974-12-31	280.6914978027
BH	tasmin	year	CNRM-CM5	historical	none	1975-12-31	280.4273986816
BH	tasmin	year	CNRM-CM5	historical	none	1976-12-31	280.8741455078
BH	tasmin	year	CNRM-CM5	historical	none	1977-12-31	279.5205688477
BH	tasmin	year	CNRM-CM5	historical	none	1978-12-31	279.8628540039
BH	tasmin	year	CNRM-CM5	historical	none	1979-12-31	279.6276245117
BH	tasmin	year	CNRM-CM5	historical	none	1980-12-31	280.2221069336
BH	tasmin	year	CNRM-CM5	historical	none	1981-12-31	279.6055297852
BH	tasmin	year	CNRM-CM5	historical	none	1982-12-31	280.6799621582
BH	tasmin	year	CNRM-CM5	historical	none	1983-12-31	279.9540405273
BH	tasmin	year	CNRM-CM5	historical	none	1984-12-31	280.5028686523
BH	tasmin	year	CNRM-CM5	historical	none	1985-12-31	280.194732666
BH	tasmin	year	CNRM-CM5	historical	none	1986-12-31	280.1430358887
BH	tasmin	year	CNRM-CM5	historical	none	1987-12-31	279.6690979004
BH	tasmin	year	CNRM-CM5	historical	none	1988-12-31	280.2702331543
BH	tasmin	year	CNRM-CM5	historical	none	1989-12-31	280.4680480957
BH	tasmin	year	CNRM-CM5	historical	none	1990-12-31	280.8118286133
BH	tasmin	year	CNRM-CM5	historical	none	1991-12-31	280.4437255859
BH	tasmin	year	CNRM-CM5	historical	none	1992-12-31	281.6049499512
BH	tasmin	year	CNRM-CM5	historical	none	1993-12-31	279.7366027832
BH	tasmin	year	CNRM-CM5	historical	none	1994-12-31	280.3966369629
BH	tasmin	year	CNRM-CM5	historical	none	1995-12-31	281.3898010254
BH	tasmin	year	CNRM-CM5	historical	none	1996-12-31	282.3295593262
BH	tasmin	year	CNRM-CM5	historical	none	1997-12-31	281.3434143066
BH	tasmin	year	CNRM-CM5	historical	none	1998-12-31	281.2135314941
BH	tasmin	year	CNRM-CM5	historical	none	1999-12-31	279.5335693359
BH	tasmin	year	CNRM-CM5	historical	none	2000-12-31	279.7767028809
BH	tasmin	year	CNRM-CM5	historical	none	2001-12-31	279.7247009277
BH	tasmin	year	CNRM-CM5	historical	none	2002-12-31	280.7766113281
BH	tasmin	year	CNRM-CM5	historical	none	2003-12-31	279.4128723145
BH	tasmin	year	CNRM-CM5	historical	none	2004-12-31	279.8329772949
BH	tasmax	year	CanESM2	historical	none	1950-12-31	296.1456298828
BH	tasmax	year	CanESM2	historical	none	1951-12-31	294.8026428223
BH	tasmax	year	CanESM2	historical	none	1952-12-31	295.0971374512
BH	tasmax	year	CanESM2	historical	none	1953-12-31	295.0237426758
BH	tasmax	year	CanESM2	historical	none	1954-12-31	294.5114440918
BH	tasmax	year	CanESM2	historical	none	1955-12-31	294.7421569824
BH	tasmax	year	CanESM2	historical	none	1956-12-31	295.092590332
BH	tasmax	year	CanESM2	historical	none	1957-12-31	294.9692993164
BH	tasmax	year	CanESM2	historical	none	1958-12-31	295.079284668
BH	tasmax	year	CanESM2	historical	none	1959-12-31	295.8858642578
BH	tasmax	year	CanESM2	historical	none	1960-12-31	295.7138977051
BH	tasmax	year	CanESM2	historical	none	1961-12-31	294.5057373047
BH	tasmax	year	CanESM2	historical	none	1962-12-31	296.0062561035
BH	tasmax	year	CanESM2	historical	none	1963-12-31	296.0864562988
BH	tasmax	year	CanESM2	historical	none	1964-12-31	294.8830871582
BH	tasmax	year	CanESM2	historical	none	1965-12-31	293.8186950684
BH	tasmax	year	CanESM2	historical	none	1966-12-31	294.773223877
BH	tasmax	year	CanESM2	historical	none	1967-12-31	296.2875061035
BH	tasmax	year	CanESM2	historical	none	1968-12-31	295.1134643555
BH	tasmax	year	CanESM2	historical	none	1969-12-31	295.3091430664
BH	tasmax	year	CanESM2	historical	none	1970-12-31	294.8772583008
BH	tasmax	year	CanESM2	historical	none	1971-12-31	295.1383056641
BH	tasmax	year	CanESM2	historical	none	1972-12-31	295.7441101074
BH	tasmax	year	CanESM2	historical	none	1973-12-31	294.5971374512
BH	tasmax	year	CanESM2	historical	none	1974-12-31	295.8084411621
BH	tasmax	year	CanESM2	historical	none	1975-12-31	295.5241088867
BH	tasmax	year	CanESM2	historical	none	1976-12-31	295.8809204102
BH	tasmax	year	CanESM2	historical	none	1977-12-31	294.7286376953
BH	tasmax	year	CanESM2	historical	none	1978-12-31	296.277557373
BH	tasmax	year	CanESM2	historical	none	1979-12-31	295.7510375977
BH	tasmax	year	CanESM2	historical	none	1980-12-31	296.5366210938
BH	tasmax	year	CanESM2	historical	none	1981-12-31	296.1608581543
BH	tasmax	year	CanESM2	historical	none	1982-12-31	295.1914978027
BH	tasmax	year	CanESM2	historical	none	1983-12-31	294.909576416
BH	tasmax	year	CanESM2	historical	none	1984-12-31	295.4963989258
BH	tasmax	year	CanESM2	historical	none	1985-12-31	295.1975708008
BH	tasmax	year	CanESM2	historical	none	1986-12-31	295.7559509277
BH	tasmax	year	CanESM2	historical	none	1987-12-31	295.392791748
BH	tasmax	year	CanESM2	historical	none	1988-12-31	295.6335144043
BH	tasmax	year	CanESM2	historical	none	1989-12-31	295.1512145996
BH	tasmax	year	CanESM2	historical	none	1990-12-31	295.5844421387
BH	tasmax	year	CanESM2	historical	none	1991-12-31	296.2347412109
BH	tasmax	year	CanESM2	historical	none	1992-12-31	294.8877258301
BH	tasmax	year	CanESM2	historical	none	1993-12-31	296.6045837402
BH	tasmax	year	CanESM2	historical	none	1994-12-31	294.7938842773
BH	tasmax	year	CanESM2	historical	none	1995-12-31	296.1719360352
BH	tasmax	year	CanESM2	historical	none	1996-12-31	296.322479248
BH	tasmax	year	CanESM2	historical	none	1997-12-31	295.3522033691
BH	tasmax	year	CanESM2	historical	none	1998-12-31	296.9069213867
BH	tasmax	year	CanESM2	historical	none	1999-12-31	296.8610839844
BH	tasmax	year	CanESM2	historical	none	2000-12-31	296.0658874512
BH	tasmax	year	CanESM2	historical	none	2001-12-31	296.4084777832
BH	tasmax	year	CanESM2	historical	none	2002-12-31	297.0453491211
BH	tasmax	year	CanESM2	historical	none	2003-12-31	295.6291809082
BH	tasmax	year	CanESM2	historical	none	2004-12-31	296.3048400879
BH	tasmin	year	CanESM2	historical	none	1950-12-31	278.9642944336
BH	tasmin	year	CanESM2	historical	none	1951-12-31	279.4343261719
BH	tasmin	year	CanESM2	historical	none	1952-12-31	280.0686340332
BH	tasmin	year	CanESM2	historical	none	1953-12-31	279.9931030273
BH	tasmin	year	CanESM2	historical	none	1954-12-31	279.2951660156
BH	tasmin	year	CanESM2	historical	none	1955-12-31	279.8900756836
BH	tasmin	year	CanESM2	historical	none	1956-12-31	280.2329406738
BH	tasmin	year	CanESM2	historical	none	1957-12-31	279.8817749023
BH	tasmin	year	CanESM2	historical	none	1958-12-31	278.7061462402
BH	tasmin	year	CanESM2	historical	none	1959-12-31	278.9698791504
BH	tasmin	year	CanESM2	historical	none	1960-12-31	279.2033691406
BH	tasmin	year	CanESM2	historical	none	1961-12-31	279.1650390625
BH	tasmin	year	CanESM2	historical	none	1962-12-31	279.4373474121
BH	tasmin	year	CanESM2	historical	none	1963-12-31	279.2727661133
BH	tasmin	year	CanESM2	historical	none	1964-12-31	280.0072021484
BH	tasmin	year	CanESM2	historical	none	1965-12-31	279.6657409668
BH	tasmin	year	CanESM2	historical	none	1966-12-31	279.851776123
BH	tasmin	year	CanESM2	historical	none	1967-12-31	280.0055847168
BH	tasmin	year	CanESM2	historical	none	1968-12-31	279.0334472656
BH	tasmin	year	CanESM2	historical	none	1969-12-31	281.0719299316
BH	tasmin	year	CanESM2	historical	none	1970-12-31	279.9064025879
BH	tasmin	year	CanESM2	historical	none	1971-12-31	278.8454284668
BH	tasmin	year	CanESM2	historical	none	1972-12-31	279.8679199219
BH	tasmin	year	CanESM2	historical	none	1973-12-31	280.1806640625
BH	tasmin	year	CanESM2	historical	none	1974-12-31	280.931854248
BH	tasmin	year	CanESM2	historical	none	1975-12-31	279.7688293457
BH	tasmin	year	CanESM2	historical	none	1976-12-31	280.211517334
BH	tasmin	year	CanESM2	historical	none	1977-12-31	279.9228210449
BH	tasmin	year	CanESM2	historical	none	1978-12-31	279.5946044922
BH	tasmin	year	CanESM2	historical	none	1979-12-31	279.3562011719
BH	tasmin	year	CanESM2	historical	none	1980-12-31	280.1070556641
BH	tasmin	year	CanESM2	historical	none	1981-12-31	280.7268981934
BH	tasmin	year	CanESM2	historical	none	1982-12-31	280.3892211914
BH	tasmin	year	CanESM2	historical	none	1983-12-31	280.3087463379
BH	tasmin	year	CanESM2	historical	none	1984-12-31	280.477722168
BH	tasmin	year	CanESM2	historical	none	1985-12-31	281.0644836426
BH	tasmin	year	CanESM2	historical	none	1986-12-31	280.177154541
BH	tasmin	year	CanESM2	historical	none	1987-12-31	280.0199584961
BH	tasmin	year	CanESM2	historical	none	1988-12-31	279.861114502
BH	tasmin	year	CanESM2	historical	none	1989-12-31	281.4774780273
BH	tasmin	year	CanESM2	historical	none	1990-12-31	281.0857543945
BH	tasmin	year	CanESM2	historical	none	1991-12-31	280.4932861328
BH	tasmin	year	CanESM2	historical	none	1992-12-31	280.0812683105
BH	tasmin	year	CanESM2	historical	none	1993-12-31	281.3305358887
BH	tasmin	year	CanESM2	historical	none	1994-12-31	280.4237670898
BH	tasmin	year	CanESM2	historical	none	1995-12-31	280.8605957031
BH	tasmin	year	CanESM2	historical	none	1996-12-31	280.9473876953
BH	tasmin	year	CanESM2	historical	none	1997-12-31	280.5076904297
BH	tasmin	year	CanESM2	historical	none	1998-12-31	280.0996398926
BH	tasmin	year	CanESM2	historical	none	1999-12-31	280.3727722168
BH	tasmin	year	CanESM2	historical	none	2000-12-31	279.791015625
BH	tasmin	year	CanESM2	historical	none	2001-12-31	279.2309570312
BH	tasmin	year	CanESM2	historical	none	2002-12-31	280.3193969727
BH	tasmin	year	CanESM2	historical	none	2003-12-31	280.376159668
BH	tasmin	year	CanESM2	historical	none	2004-12-31	280.2286071777
BH	tasmax	year	MIROC5	historical	none	1950-12-31	295.3706665039
BH	tasmax	year	MIROC5	historical	none	1951-12-31	296.2364501953
BH	tasmax	year	MIROC5	historical	none	1952-12-31	295.0973205566
BH	tasmax	year	MIROC5	historical	none	1953-12-31	296.0258178711
BH	tasmax	year	MIROC5	historical	none	1954-12-31	295.7384033203
BH	tasmax	year	MIROC5	historical	none	1955-12-31	296.5429992676
BH	tasmax	year	MIROC5	historical	none	1956-12-31	295.1598510742
BH	tasmax	year	MIROC5	historical	none	1957-12-31	296.65234375
BH	tasmax	year	MIROC5	historical	none	1958-12-31	295.0828857422
BH	tasmax	year	MIROC5	historical	none	1959-12-31	295.8822631836
BH	tasmax	year	MIROC5	historical	none	1960-12-31	295.1936950684
BH	tasmax	year	MIROC5	historical	none	1961-12-31	294.8702697754
BH	tasmax	year	MIROC5	historical	none	1962-12-31	296.867980957
BH	tasmax	year	MIROC5	historical	none	1963-12-31	296.5817260742
BH	tasmax	year	MIROC5	historical	none	1964-12-31	296.4188842773
