id	cvar	period	gcm	scenario	spag	dt	val
BH	tasmax	year	CNRM-CM5	rcp45	none	2054-12-31	298.2260131836
BH	tasmax	year	CNRM-CM5	rcp45	none	2055-12-31	297.0275878906
BH	tasmax	year	CNRM-CM5	rcp45	none	2056-12-31	297.1331176758
BH	tasmax	year	CNRM-CM5	rcp45	none	2057-12-31	297.5608215332
BH	tasmax	year	CNRM-CM5	rcp45	none	2058-12-31	298.1018066406
BH	tasmax	year	CNRM-CM5	rcp45	none	2059-12-31	296.7477111816
BH	tasmax	year	CNRM-CM5	rcp45	none	2060-12-31	298.0636901855
BH	tasmax	year	CNRM-CM5	rcp45	none	2061-12-31	297.2000427246
BH	tasmax	year	CNRM-CM5	rcp45	none	2062-12-31	298.5548095703
BH	tasmax	year	CNRM-CM5	rcp45	none	2063-12-31	297.2422485352
BH	tasmax	year	CNRM-CM5	rcp45	none	2064-12-31	298.1012573242
BH	tasmax	year	CNRM-CM5	rcp45	none	2065-12-31	298.4078369141
BH	tasmax	year	CNRM-CM5	rcp45	none	2066-12-31	298.0065307617
BH	tasmax	year	CNRM-CM5	rcp45	none	2067-12-31	297.7249145508
BH	tasmax	year	CNRM-CM5	rcp45	none	2068-12-31	298.8439025879
BH	tasmax	year	CNRM-CM5	rcp45	none	2069-12-31	298.5546875
BH	tasmax	year	CNRM-CM5	rcp45	none	2070-12-31	298.1968994141
BH	tasmax	year	CNRM-CM5	rcp45	none	2071-12-31	297.9107666016
BH	tasmax	year	CNRM-CM5	rcp45	none	2072-12-31	298.9887695312
BH	tasmax	year	CNRM-CM5	rcp45	none	2073-12-31	298.5199279785
BH	tasmax	year	CNRM-CM5	rcp45	none	2074-12-31	298.4467773438
BH	tasmax	year	CNRM-CM5	rcp45	none	2075-12-31	297.6541748047
BH	tasmax	year	CNRM-CM5	rcp45	none	2076-12-31	299.4374084473
BH	tasmax	year	CNRM-CM5	rcp45	none	2077-12-31	297.8056030273
BH	tasmax	year	CNRM-CM5	rcp45	none	2078-12-31	298.141784668
BH	tasmax	year	CNRM-CM5	rcp45	none	2079-12-31	298.3953857422
BH	tasmax	year	CNRM-CM5	rcp45	none	2080-12-31	298.4111022949
BH	tasmin	year	CNRM-CM5	rcp45	none	2040-12-31	281.3947143555
BH	tasmin	year	CNRM-CM5	rcp45	none	2041-12-31	280.8680725098
BH	tasmin	year	CNRM-CM5	rcp45	none	2042-12-31	281.8202209473
BH	tasmin	year	CNRM-CM5	rcp45	none	2043-12-31	282.1577148438
BH	tasmin	year	CNRM-CM5	rcp45	none	2044-12-31	282.6193237305
BH	tasmin	year	CNRM-CM5	rcp45	none	2045-12-31	282.379119873
BH	tasmin	year	CNRM-CM5	rcp45	none	2046-12-31	281.9388427734
BH	tasmin	year	CNRM-CM5	rcp45	none	2047-12-31	282.1207580566
BH	tasmin	year	CNRM-CM5	rcp45	none	2048-12-31	282.0719604492
BH	tasmin	year	CNRM-CM5	rcp45	none	2049-12-31	281.7890014648
BH	tasmin	year	CNRM-CM5	rcp45	none	2050-12-31	282.6125488281
BH	tasmin	year	CNRM-CM5	rcp45	none	2051-12-31	282.0480957031
BH	tasmin	year	CNRM-CM5	rcp45	none	2052-12-31	281.3611755371
BH	tasmin	year	CNRM-CM5	rcp45	none	2053-12-31	280.7205810547
BH	tasmin	year	CNRM-CM5	rcp45	none	2054-12-31	282.1396179199
BH	tasmin	year	CNRM-CM5	rcp45	none	2055-12-31	282.6486816406
BH	tasmin	year	CNRM-CM5	rcp45	none	2056-12-31	281.4051818848
BH	tasmin	year	CNRM-CM5	rcp45	none	2057-12-31	280.9523010254
BH	tasmin	year	CNRM-CM5	rcp45	none	2058-12-31	282.6323852539
BH	tasmin	year	CNRM-CM5	rcp45	none	2059-12-31	283.3531799316
BH	tasmin	year	CNRM-CM5	rcp45	none	2060-12-31	283.9066467285
BH	tasmin	year	CNRM-CM5	rcp45	none	2061-12-31	281.4056091309
BH	tasmin	year	CNRM-CM5	rcp45	none	2062-12-31	282.7392272949
BH	tasmin	year	CNRM-CM5	rcp45	none	2063-12-31	283.1170959473
BH	tasmin	year	CNRM-CM5	rcp45	none	2064-12-31	282.9978942871
BH	tasmin	year	CNRM-CM5	rcp45	none	2065-12-31	281.6980895996
BH	tasmin	year	CNRM-CM5	rcp45	none	2066-12-31	282.1945495605
BH	tasmin	year	CNRM-CM5	rcp45	none	2067-12-31	281.7082824707
BH	tasmin	year	CNRM-CM5	rcp45	none	2068-12-31	282.7383728027
BH	tasmin	year	CNRM-CM5	rcp45	none	2069-12-31	282.4562683105
BH	tasmin	year	CNRM-CM5	rcp45	none	2070-12-31	283.1008911133
BH	tasmin	year	CNRM-CM5	rcp45	none	2071-12-31	281.7648620605
BH	tasmin	year	CNRM-CM5	rcp45	none	2072-12-31	282.4129333496
BH	tasmin	year	CNRM-CM5	rcp45	none	2073-12-31	282.4856567383
BH	tasmin	year	CNRM-CM5	rcp45	none	2074-12-31	282.835357666
BH	tasmin	year	CNRM-CM5	rcp45	none	2075-12-31	282.7420654297
BH	tasmin	year	CNRM-CM5	rcp45	none	2076-12-31	283.5999755859
BH	tasmin	year	CNRM-CM5	rcp45	none	2077-12-31	282.5830078125
BH	tasmin	year	CNRM-CM5	rcp45	none	2078-12-31	283.5768127441
BH	tasmin	year	CNRM-CM5	rcp45	none	2079-12-31	283.5252075195
BH	tasmin	year	CNRM-CM5	rcp45	none	2080-12-31	282.6083679199
BH	tasmax	year	CanESM2	rcp45	none	2040-12-31	297.2512207031
BH	tasmax	year	CanESM2	rcp45	none	2041-12-31	298.0482177734
BH	tasmax	year	CanESM2	rcp45	none	2042-12-31	297.3044128418
BH	tasmax	year	CanESM2	rcp45	none	2043-12-31	298.3636169434
BH	tasmax	year	CanESM2	rcp45	none	2044-12-31	297.3788757324
BH	tasmax	year	CanESM2	rcp45	none	2045-12-31	298.40234375
BH	tasmax	year	CanESM2	rcp45	none	2046-12-31	297.5849304199
BH	tasmax	year	CanESM2	rcp45	none	2047-12-31	297.8709106445
BH	tasmax	year	CanESM2	rcp45	none	2048-12-31	297.8969116211
BH	tasmax	year	CanESM2	rcp45	none	2049-12-31	297.7462463379
BH	tasmax	year	CanESM2	rcp45	none	2050-12-31	298.0207519531
BH	tasmax	year	CanESM2	rcp45	none	2051-12-31	297.8807678223
BH	tasmax	year	CanESM2	rcp45	none	2052-12-31	297.4171447754
BH	tasmax	year	CanESM2	rcp45	none	2053-12-31	298.6029663086
BH	tasmax	year	CanESM2	rcp45	none	2054-12-31	298.5669250488
BH	tasmax	year	CanESM2	rcp45	none	2055-12-31	298.9470825195
BH	tasmax	year	CanESM2	rcp45	none	2056-12-31	298.3251342773
BH	tasmax	year	CanESM2	rcp45	none	2057-12-31	297.8007202148
BH	tasmax	year	CanESM2	rcp45	none	2058-12-31	298.9251403809
BH	tasmax	year	CanESM2	rcp45	none	2059-12-31	298.0317382812
BH	tasmax	year	CanESM2	rcp45	none	2060-12-31	297.9625854492
BH	tasmax	year	CanESM2	rcp45	none	2061-12-31	298.7381896973
BH	tasmax	year	CanESM2	rcp45	none	2062-12-31	298.8609313965
BH	tasmax	year	CanESM2	rcp45	none	2063-12-31	298.6743164062
BH	tasmax	year	CanESM2	rcp45	none	2064-12-31	299.1485900879
BH	tasmax	year	CanESM2	rcp45	none	2065-12-31	298.5941772461
BH	tasmax	year	CanESM2	rcp45	none	2066-12-31	298.1891174316
BH	tasmax	year	CanESM2	rcp45	none	2067-12-31	297.4356994629
