population	year	tasmax	tasmin	ppt
FR	1994	305.9779991149902	270.8790000915527	813.8359940052032
FR	1995	302.7390007019043	273.08299999833105	1996.1640305519104
FR	1996	304.9429992675781	272.9620000064373	1852.5069786906242
FR	1997	302.64799919128416	271.8960000514984	1022.0250205993652
FR	1998	304.7780002593994	269.85499992370603	1501.2869997024536
FR	1999	302.60800018310545	272.06999995708463	869.6030007824302
FR	2000	303.3680004119873	272.81899999976156	1046.6910076141357
FR	2001	304.67499961853025	271.4110000371933	946.8029868602753
FR	2002	305.7440017700195	270.9309998989105	948.094005048275
FR	2003	305.6029991149902	272.3670000076294	986.643983900547
FR	2004	303.9330009460449	272.1000000476837	906.9539959430695
FR	2005	305.2839988708496	272.79700001478193	1334.1200103759766
FR	2006	305.17000045776365	271.1840000391006	1177.488000869751
FR	2007	304.1210006713867	270.80100002288816	607.9410047531128
FR	2008	304.8060001373291	271.2320000171661	767.910996556282
FR	2009	304.47999992370603	271.161999964714	875.5600045323372
FR	2010	304.2239994049072	273.0869999989867	1247.6530074139591
IH	1981	306.9040016174316	276.6149999141693	1469.3970012664795
IH	1982	305.173998260498	273.22199999690054	1741.6069940924644
IH	1983	304.9020008087158	275.63200011253355	2071.2369853258133
IH	1984	307.5699981689453	273.4180000066757	807.182993888855
IH	1985	307.4629997253418	273.3130000025034	802.2729896605015
IH	1986	307.210001373291	275.2210000991821	1276.5520133972168
IH	1987	305.95699920654295	273.5769999861717	848.3690146394074
IH	1988	308.41200103759763	274.52899994850156	837.742992401123
IH	1989	306.11799850463865	273.6829999923706	953.7920026779175
IH	1990	306.02099838256834	271.4460000038147	684.994000479579
IH	1991	306.2160018920898	274.3570000171661	977.5110117197037
IH	1992	307.50800170898435	273.59900000095365	1019.3119932115078
IH	1993	304.6910003662109	274.25699999332426	1271.4910027980804
IH	1994	307.48000183105466	274.2209999799728	924.8890039920807
IH	1995	306.1890014648437	276.88600006103513	1666.7520068208687
IH	1996	307.26100006103513	276.0760001182556	1844.6269962787628
IH	1997	305.0959991455078	274.50199999809263	1085.1830079555511
IH	1998	306.8539985656738	272.888999992609	1729.7149829939008
IH	1999	304.31900062561033	274.79900004863737	1022.3879954814911
IH	2000	305.5599998474121	274.93199994564054	1307.4950199127197
IH	2001	307.1490005493164	273.78300001621244	1043.1509971618652
