id,cvar,gcm,mean_val
TM2,tasmin,HadGEM2-ES,281.0801641290818
TM2,tasmin,MIROC5,281.0751864346582
UCD_Garden,pr,CNRM-CM5,1.5039734545454546e-5
UCD_Garden,pr,CanESM2,1.4931634545454546e-5
UCD_Garden,pr,HadGEM2-ES,1.5022234545454545e-5
UCD_Garden,pr,MIROC5,1.5046396363636363e-5
UCD_Garden,tasmax,CNRM-CM5,296.6005554199182
UCD_Garden,tasmax,CanESM2,296.6047596324509
UCD_Garden,tasmax,HadGEM2-ES,296.61721912730184
UCD_Garden,tasmax,MIROC5,296.61806585138726
UCD_Garden,tasmin,CNRM-CM5,281.3922019264836
UCD_Garden,tasmin,CanESM2,281.3992781205618
UCD_Garden,tasmin,HadGEM2-ES,281.4116432883509
UCD_Garden,tasmin,MIROC5,281.40049327503453
WL1,pr,CNRM-CM5,3.967393818181818e-5
WL1,pr,CanESM2,3.950110909090909e-5
WL1,pr,HadGEM2-ES,3.9745198181818185e-5
WL1,pr,MIROC5,3.9627654545454545e-5
WL1,tasmax,CNRM-CM5,287.94224465110364
WL1,tasmax,CanESM2,287.9626980868291
WL1,tasmax,HadGEM2-ES,287.96354703036366
WL1,tasmax,MIROC5,287.9707874644909
WL1,tasmin,CNRM-CM5,273.4726068670109
WL1,tasmin,CanESM2,273.4965287642036
WL1,tasmin,HadGEM2-ES,273.50243530273457
WL1,tasmin,MIROC5,273.50313665215816
WL2,pr,CNRM-CM5,4.095279636363636e-5
WL2,pr,CanESM2,4.072850363636364e-5
WL2,pr,HadGEM2-ES,4.099238727272727e-5
WL2,pr,MIROC5,4.088595636363636e-5
WL2,tasmax,CNRM-CM5,287.2925847833782
WL2,tasmax,CanESM2,287.3121016068909
WL2,tasmax,HadGEM2-ES,287.31321078213455
WL2,tasmax,MIROC5,287.32078191584
WL2,tasmin,CNRM-CM5,273.0102539062509
WL2,tasmin,CanESM2,273.0320800781218
WL2,tasmin,HadGEM2-ES,273.0391740278709
WL2,tasmin,MIROC5,273.0395319158436
WL2_Garden,pr,CNRM-CM5,4.095279636363636e-5
WL2_Garden,pr,CanESM2,4.072850363636364e-5
WL2_Garden,pr,HadGEM2-ES,4.099238727272727e-5
WL2_Garden,pr,MIROC5,4.088595636363636e-5
WL2_Garden,tasmax,CNRM-CM5,287.2925847833782
WL2_Garden,tasmax,CanESM2,287.3121016068909
WL2_Garden,tasmax,HadGEM2-ES,287.31321078213455
WL2_Garden,tasmax,MIROC5,287.32078191584
WL2_Garden,tasmin,CNRM-CM5,273.0102539062509
WL2_Garden,tasmin,CanESM2,273.0320800781218
WL2_Garden,tasmin,HadGEM2-ES,273.0391740278709
WL2_Garden,tasmin,MIROC5,273.0395319158436
WR,pr,CNRM-CM5,5.4989363636363633e-5
WR,pr,CanESM2,5.452796363636364e-5
WR,pr,HadGEM2-ES,5.4903543636363634e-5
WR,pr,MIROC5,5.524584181818182e-5
WR,tasmax,CNRM-CM5,291.58387673117636
WR,tasmax,CanESM2,291.5959938742909
WR,tasmax,HadGEM2-ES,291.60767655806
WR,tasmax,MIROC5,291.60774369673635
WR,tasmin,CNRM-CM5,279.1629322398818
WR,tasmin,CanESM2,279.17726939807636
WR,tasmin,HadGEM2-ES,279.1886485706691
WR,tasmin,MIROC5,279.18311823064545
WV,pr,CNRM-CM5,3.171118909090909e-5
WV,pr,CanESM2,3.180192181818182e-5
WV,pr,HadGEM2-ES,3.173064363636364e-5
WV,pr,MIROC5,3.209069090909091e-5
WV,tasmax,CNRM-CM5,293.5445845170491
WV,tasmax,CanESM2,293.55174061167634
WV,tasmax,HadGEM2-ES,293.56229192560545
WV,tasmax,MIROC5,293.5483786843
WV,tasmin,CNRM-CM5,275.9333390669291
WV,tasmin,CanESM2,275.9567699085545
WV,tasmin,HadGEM2-ES,275.9528847434309
WV,tasmin,MIROC5,275.9514032537273
YO1,pr,CNRM-CM5,3.495639272727273e-5
YO1,pr,CanESM2,3.451390727272727e-5
YO1,pr,HadGEM2-ES,3.4972936363636364e-5
YO1,pr,MIROC5,3.4706574545454543e-5
YO1,tasmax,CNRM-CM5,286.26471890536544
YO1,tasmax,CanESM2,286.2931024724836
YO1,tasmax,HadGEM2-ES,286.2989524147727
YO1,tasmax,MIROC5,286.31543246182366
YO1,tasmin,CNRM-CM5,270.792257413
YO1,tasmin,CanESM2,270.81459017666907
YO1,tasmin,HadGEM2-ES,270.82094116210726
YO1,tasmin,MIROC5,270.80790238813637
YO11,pr,CNRM-CM5,2.543844909090909e-5
YO11,pr,CanESM2,2.5114792727272728e-5
YO11,pr,HadGEM2-ES,2.5418901818181817e-5
YO11,pr,MIROC5,2.532179818181818e-5
YO11,tasmax,CNRM-CM5,282.45237648703454
YO11,tasmax,CanESM2,282.4891251997509
YO11,tasmax,HadGEM2-ES,282.4828485662291
