population	model	scenario	offset	Elevation	Lat	Long
FR	miroc6	ssp370	1.8264165838712725	787	40.01362	-121.18498
IH	miroc6	ssp370	2.721611686356001	454.1298385	39.09332	-120.92114
LV1	miroc6	ssp370	0.5873496891306659	2593.416641	40.47471	-121.50486
LV3	miroc6	ssp370	0.631528687889758	2353.550747	40.47917	-121.52311
LVTR1	miroc6	ssp370	0.5240491573338775	2741.38982	40.47917	-121.5032
SC	miroc6	ssp370	2.1594960058783235	421.5178299	38.41167	-120.73583000000001
SQ1	miroc6	ssp370	2.110710722252745	1921.036585	36.56435	-118.7764
SQ2	miroc6	ssp370	2.0774962902659038	1934.45122	36.66557	-118.83543
SQ3	miroc6	ssp370	1.5656005006833293	2373.170732	36.72109	-118.84933
TM2	miroc6	ssp370	0.97074810424991	379.1526973	39.59255	-121.55072
WL1	miroc6	ssp370	2.8533137576844974	1613.837245	38.78608	-120.2143
WL2	miroc6	ssp370	3.1432446138765484	2020.115818	38.8263	-120.25242
WR	miroc6	ssp370	2.3548848619447087	1158	39.34346	-120.80659
YO11	miroc6	ssp370	3.494214760192153	2872.295032	37.93844	-119.23157
YO4	miroc6	ssp370	3.7689129251544533	2157.57391	37.76378	-119.77244
YO7	miroc6	ssp370	3.7442214003101975	2469.978665	37.80903	-119.56605
YO8	miroc6	ssp370	3.5096703295349343	2590.97836	37.81117	-119.48624
BH	mpi-esm1-2-hr	ssp245	2.1266291192028506	511.4294422	37.40985	-119.96458
CC	mpi-esm1-2-hr	ssp245	2.6134844899950043	313	39.58597	-121.43311
CP2	mpi-esm1-2-hr	ssp245	1.386246568683574	2244.132886	38.66169	-120.13065
CP3	mpi-esm1-2-hr	ssp245	1.2702694842120144	2266.382201	38.70649	-120.08797
DPR	mpi-esm1-2-hr	ssp245	2.3133566196644635	1018.591893	39.22846	-120.81518
FR	mpi-esm1-2-hr	ssp245	2.409118638477875	787	40.01362	-121.18498
IH	mpi-esm1-2-hr	ssp245	2.5101640555292732	454.1298385	39.09332	-120.92114
LV1	mpi-esm1-2-hr	ssp245	1.066836419755253	2593.416641	40.47471	-121.50486
LV3	mpi-esm1-2-hr	ssp245	1.110684312050551	2353.550747	40.47917	-121.52311
LVTR1	mpi-esm1-2-hr	ssp245	0.9489609352584865	2741.38982	40.47917	-121.5032
SC	mpi-esm1-2-hr	ssp245	2.0970838734180113	421.5178299	38.41167	-120.73583000000001
SQ1	mpi-esm1-2-hr	ssp245	2.3308483403733744	1921.036585	36.56435	-118.7764
SQ2	mpi-esm1-2-hr	ssp245	2.136490462777662	1934.45122	36.66557	-118.83543
SQ3	mpi-esm1-2-hr	ssp245	1.572276338580862	2373.170732	36.72109	-118.84933
TM2	mpi-esm1-2-hr	ssp245	2.8095347578338097	379.1526973	39.59255	-121.55072
WL1	mpi-esm1-2-hr	ssp245	1.7424632480640587	1613.837245	38.78608	-120.2143
WL2	mpi-esm1-2-hr	ssp245	2.053002821230259	2020.115818	38.8263	-120.25242
WR	mpi-esm1-2-hr	ssp245	1.987864681249518	1158	39.34346	-120.80659
YO11	mpi-esm1-2-hr	ssp245	1.715607331449075	2872.295032	37.93844	-119.23157
YO4	mpi-esm1-2-hr	ssp245	2.654860598170756	2157.57391	37.76378	-119.77244
YO7	mpi-esm1-2-hr	ssp245	2.551805249879636	2469.978665	37.80903	-119.56605
YO8	mpi-esm1-2-hr	ssp245	2.0272941637020465	2590.97836	37.81117	-119.48624
BH	mpi-esm1-2-hr	ssp370	2.4061066563772733	511.4294422	37.40985	-119.96458
CC	mpi-esm1-2-hr	ssp370	2.7938488041462066	313	39.58597	-121.43311
CP2	mpi-esm1-2-hr	ssp370	1.1024868280169575	2244.132886	38.66169	-120.13065
CP3	mpi-esm1-2-hr	ssp370	0.8345117780014913	2266.382201	38.70649	-120.08797
DPR	mpi-esm1-2-hr	ssp370	2.096771600455247	1018.591893	39.22846	-120.81518
FR	mpi-esm1-2-hr	ssp370	1.9272322173019083	787	40.01362	-121.18498
IH	mpi-esm1-2-hr	ssp370	2.445326954568916	454.1298385	39.09332	-120.92114
